takeoff_name,telegram_group_name,telegram_group_link,exclude,notes,site_guide,elevation,takeoff_lon,takeoff_lat
Penyghent,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,NA,633.56,-2.250465,54.159015
Pinnacle Hill,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,NA,324.22,-2.33912,52.07676
Pontlottyn,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,411.4,-3.281915,51.738675
Pressendye,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,584.66,-2.84776,57.167715
Primrose Valley,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,NA,NA,https://cayleyparagliding.co.uk/paragliding-primrose-valley/,33.84,-0.2823,54.19188
Quinag,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,353.77,-5.023595,58.19839
Quiraing,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,251.72,-6.28901,57.6291
Radar Masts,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,464.22,-2.574685,54.7572
Rebecca,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=RBA,156.31,-3.182425,54.19645
Red Pike,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,754.62,-3.29862,54.52747
Red Screes,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,754.25,-2.93378,54.46935
Reighton,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,NA,NA,https://cayleyparagliding.co.uk/paragliding-reighton/,53.98,-0.24596,54.16498
Rhiw Wen,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,474.63,-3.848115,51.855975
Ringstead,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf,132.22,-2.34191,50.640175
Roaches,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,NA,NA,NA,438.18,-2.003125,53.169285
Robinson,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,694.78,-3.23605,54.53732
Roel Gate,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,NA,278.12,-1.924425,51.91705
Rough Knowe,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,356.28,-2.99485,55.52201
Rutland Airsports,East,https://t.me/joinchat/1oNELt0BqesxNjJk,NA,NA,https://rutlandairsport.wordpress.com/site-guide/,105.11,-0.605775,52.630445
Rybury,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,https://www.tvhgc.co.uk/rybury,204.88,-1.88167,51.37278
Saddle Yoke,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,465.6,-3.34808,55.38602
Sandymouth,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,NA,50.48,-4.55508,50.85997
Sarn,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,NA,NA,NA,400.27,-3.14252,52.50295
Scales Fell,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,581.87,-3.02565,54.63858
Schiehallion,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,873.5,-4.07636,56.666075
Seat Sandal,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,222.21,-3.03585,54.49046
Selsley,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.avonhgpg.co.uk/sites/sites.php,195.11,-2.25043,51.72742
Semer Water,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,https://www.dhpc.org.uk/site-guide/semer-water,454.17,-2.13954,54.28856
Seven Sisters,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,427.16,-3.70062,51.7471
Sgor Gaoithe,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,600.53,-3.53576,57.27755
Sgurr An Airgid,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,11.56,-5.39644,57.237705
Sgurr An Fhuarail,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,573.05,-5.201,57.16208
Sgurr Finniosgaig,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,618.98,-4.971065,56.842225
Sgurr Na Feartaig,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,770.74,-5.246675,57.467725
Sharpenhoe,Dunstable,https://t.me/+zpCRlLWf29RmNTRk,NA,NA,https://dunstablehpc.com/site-guides/sharpenhoe-site-guide/,140.29,-0.44589,51.9582
Shining Tor,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,NA,NA,NA,505.88,-2.01091,53.258625
Simon Fell,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,TRUE,Active Edge school site,NA,608.97,-2.369575,54.16994
Skiddaw,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,831.19,-3.13732,54.63947
Skirrid,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,441.59,-2.97482,51.8549
Slaggyford,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,420.42,-2.515355,54.850975
Sma Glen,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,255.14,-3.81529,56.46551
Snowdon,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,NA,NA,941.5,-4.071575,53.074725
Sourton,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,https://sdhgpc.org.uk/sites/sourton,380.97,-4.06627,50.69002
South Cerney,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,NA,108.45,-1.92145,51.68687
Southbourne,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf,23.48,-1.8166,50.7215
Souther Fell,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=SRF,463.91,-2.998565,54.652675
Sow Of Athol,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,772.77,-4.255375,56.83914
Sron A Gharbh Choire Bhig,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,273.25,-5.39589,56.68805
St Bees,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=SBS,14.49,-3.63922,54.512705
St Cats,Isle of Wight,https://t.me/joinchat/tSmGEGKwsGpkMTg0,NA,NA,NA,182.84,-1.30578,50.5964
St. Aldhelms,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf,113.38,-2.05952,50.59287
St. Bees,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,0.05,-3.61055,54.489875
Stags Fell,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,https://www.dhpc.org.uk/site-guide/stags-fell,476.25,-2.19745,54.3266
Stanage,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,NA,NA,https://derbyshiresoaringclub.org.uk/site-guide/stanage,420.74,-1.63178,53.34632
Standon Hill,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,NA,426.88,-4.04571,50.612875
Stoodley Pike,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,NA,373.05,-2.04317,53.71378
Strath Rusdale,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,530.31,-4.37814,57.768515
Strathyre,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,617.84,-4.29433,56.3259
Stronend,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,474.21,-4.20669,56.07711
Struddick,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,NA,132.77,-4.40427,50.366
Sugar Hill,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,https://www.tvhgc.co.uk/sugar-hill,202.46,-1.65892,51.50662
Sugar Loaf,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,345.94,-3.05893,51.84308
Suidhe Fhearghas,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,532.36,-5.19681,55.660675
Swallowcliffe,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf,179.99,-2.03677,51.03013
Swarth Fell,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,NA,648.12,-2.37548,54.36477
Swindale,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,737.75,-3.029695,54.544775
Swinside,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=SWS,393.05,-3.281725,54.60806
Tailbridge,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,https://www.dhpc.org.uk/site-guide/tailbridge,490.94,-2.304225,54.438585
Talybont,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,684.44,-3.35693,51.86419
Tarmachan,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,780.07,-4.292435,56.51268
Telegraph Hill,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,NA,241.54,-2.5102,50.84407
Threlkeld Knotts,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,454.77,-3.04247,54.59718
Thundergay,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,403.45,-5.3462,55.65658
Thurnham,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,NA,NA,https://www.dfhgc.org/sites/thurnham,166.78,0.588415,51.29471
Tinto,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,500.04,-3.701085,55.59112
Tinto East,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,463.88,-3.65757,55.60432
Tow Scar,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,TRUE,Active Edge school site,NA,319.18,-2.480905,54.1746
Tops Of Fichell,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,488.94,-3.01902,56.79968
Treak Cliff,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,NA,NA,https://derbyshiresoaringclub.org.uk/site-guide/treak-cliff,374.51,-1.79862,53.34285
Builth Wells,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,Overlaps Tremain and Fforest Fields,http://www.malvern-hang.org.uk/index.php?option=com_content&view=article&id=97&catid=11&Itemid=105,401.68,-3.3408350000000002,52.163375
Trentishoe,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,https://ndhpc.co.uk/sites_guide/trentishoe,266.86,-3.96708,51.21494
Tresparret,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,NA,239.58,-4.65161,50.71204
Triscombe,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,NA,248.66,-3.19767,51.10595
Troutbeck,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=TBK,439.21,-2.887085,54.420885
Tudhope Hill,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,527.09,-2.895935,55.280345
Ubley,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.avonhgpg.co.uk/sites/sites.php,225.61,-2.67549,51.31175
Uffington,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,https://www.tvhgc.co.uk/uffington-white-horse,234.92,-1.567135,51.57718
Ullock,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=ULP,314.02,-3.17945,54.66175
Unknown,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,123.21,-2.99565,51.80427
Walla,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=WAC,363.13,-3.118915,54.58312
Warren,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,NA,NA,https://www.dfhgc.org/sites/warren,143.3,1.22615,51.1016
Wasdale Screes,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,358.29,-3.31664,54.417075
West Lomand,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,425.53,-3.30207,56.24695
Westbury,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.avonhgpg.co.uk/sites/sites.php,201.21,-2.14746,51.2626
Westward Ho!,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,https://ndhpc.co.uk/sites_guide/cornborough,55.32,-4.25735,51.035975
Wether Fell,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,https://www.dhpc.org.uk/site-guide/wether-fell,549.72,-2.20558,54.27013
Weybourne,East,https://t.me/joinchat/1oNELt0BqesxNjJk,NA,NA,NA,8.63,1.14494,52.948605
Whernside,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,https://www.dhpc.org.uk/site-guide/whernside,535.06,-2.41976,54.207335
White Corries,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,717.03,-4.84022,56.62787
White Horse,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,http://www.wessexhgpg.org.uk/Sites/SiteGuide/WhiteHorse.pdf,139.44,-2.40473,50.6586
White Pike,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,635.02,-3.090985,54.47383
Whiteless Pike,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,607.69,-3.27151,54.55924
Whitesheet,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.wessexhgpg.org.uk/Sites/SiteGuide/WhiteSheet.pdf,216.94,-2.09212,51.01293
Whiteside,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,671.69,-3.28691,54.5864
Whitestones,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=WHS,409.56,-2.56474,54.3809
Whitewool,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,NA,NA,http://skysurfingclub.co.uk/sites-guide/,181.24,-1.075675,50.97898
Widgery Cross,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,NA,440.61,-4.06855,50.65193
Windbank,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,NA,375.56,-2.05327,54.12924
Winter Hill,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,NA,http://www.penninesoaringclub.org.uk/sites/winter-hill/,450.9,-2.513545,53.62974
Wolf Crags,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=WFC,516.14,-2.986195,54.5922
Woolacombe,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,NA,https://ndhpc.co.uk/sites_guide/woolacombe_site_guide,163.14,-4.20607,51.15888
Worcester Beacon,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,NA,NA,http://www.joomla.malvern-hang.org.uk/index.php/beacon,416.1,-2.3394,52.10445
Wrekin,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,NA,NA,http://www.longmynd.org/?page_id=292,379.34,-2.55195,52.66943
Wrynose,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=WYP,448.84,-3.1118,54.41832
Xclent,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,TRUE,Tow site,NA,270.53,-1.92412,51.91455
Yoke,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,649.53,-2.86792,54.450355
Gargunnock,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,239.42,-4.08335,56.11127
Pule,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,Manually added,http://www.penninesoaringclub.org.uk/sites/pule-hill/,417.58,-1.9534149,53.5902168
Holme Moss,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,Manually added,NA,515.18,-1.8554027,53.5320572
Beddugre Hill,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,NA,Manually added,https://paraglidingwales.co.uk/general-information/beddugre-hill/,385.85,-3.3395227,52.3207433
Tremaen,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,Manually repaired,https://paraglidingwales.co.uk/general-information/tremaen/,361.51,-3.350386,52.1550797
Carn Brea,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,Manually added,https://www.khpa.co.uk/?page_id=91.html,33.35,-5.3880747,50.232397
Hayle Towans,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,Manually added,https://www.khpa.co.uk/?page_id=263.html,0.56,-5.4110687,50.210055
Chapel Porth,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,TRUE,Manually added. Closed by National Trust.,https://www.khpa.co.uk/?page_id=97.html,74.16,-5.2321102,50.304673
Perranporth,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,Manually added,https://www.khpa.co.uk/?page_id=147.html,7,-5.1505369,50.360948
Sennen,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,Manually added,https://www.khpa.co.uk/?page_id=19.html,76,-5.6927941,50.078602
St Agnes,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,TRUE,Manually added. Closed by National Trust.,https://www.khpa.co.uk/?page_id=157.html,89.97,-5.2300232,50.318383
Maker,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,Manually added,https://sdhgpc.org.uk/sites/maker,103.09,-4.1961917,50.340889
Battern Cliffs,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,Manually added,https://sdhgpc.org.uk/sites/battern,138.68,-4.3497777,50.3635864
Beesands,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,Manually added,https://sdhgpc.org.uk/sites/beesands,101.86,-3.6617313,50.2487484
Dizzard,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,Manually added,https://sdhgpc.org.uk/sites/dizzard,105.19,-4.5907917,50.7642574
Polhawn Fields,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,Manually added,https://sdhgpc.org.uk/sites/polhawn,55.01,-4.2180639,50.3233616
Strete,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,Manually added,https://sdhgpc.org.uk/sites/strete,96.71,-3.6379028,50.3027143
Trethill Cliffs,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,TRUE,Manually added. Closed.,https://sdhgpc.org.uk/sites/trethill,96.71,-4.2941002,50.3615238
Cox Tor,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,Manually added,https://sdhgpc.org.uk/sites/cox-tor,397.4,-4.0789566,50.5685094
Meldon Hill,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,NA,Manually added,https://sdhgpc.org.uk/sites/meldon,365.68,-3.84927,50.6607304
Blackstone Edge,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,Manually added. Non-club site.,NA,342.81,-2.0498977,53.6454542
Waystone Edge,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,NA,Manually added. Non-club site.,NA,439.47,-1.9833457,53.6252652
Marros,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,Manually added,https://www.swwsc.co.uk/marrows,85.03,-4.625674,51.737142
Ferryside,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,Manually added,https://swwsc.co.uk/ferryside,70.32,-4.373048,51.751952
